15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | main | 45] Logger initialized
15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
15:56:21: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
15:56:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
15:56:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
15:56:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
15:56:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
15:56:22: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
15:56:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
15:56:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
15:56:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
15:56:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
15:56:23: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
15:56:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
15:56:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
15:56:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 10
15:56:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
15:56:24: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 11
15:56:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 12
15:56:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 8
15:56:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 13
15:56:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 9
15:56:25: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 14
15:56:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
15:56:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
15:56:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
15:56:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
15:56:29: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
15:56:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
15:56:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
15:56:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
15:56:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
15:56:30: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
15:56:31: [INFO] [/Users/tomalmog/Clubs/WARG/p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
